,ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
0,GK,中林　洋次,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
1,DF,後藤　圭太,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
2,DF,竹田　忠嗣,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
3,DF,植田　龍仁朗,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
4,MF,千明　聖典,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
5,MF,仙石　廉,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
6,MF,澤口　雅彦,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
7,MF,田所　諒,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
8,FW,金　民均,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
9,FW,石原　崇兆,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
10,FW,川又　堅碁,影山　雅永,2012/08/22,29.5,75%,小屋　幸栄,"２０１２Ｊリーグ　ディビジョン２
								 第３０節第１日",ファジアーノ岡山
0,GK,吉丸　絢梓,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
1,DF,村松　航太,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
2,DF,岡村　和哉,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
3,DF,野口　航,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
4,DF,永田　拓也,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
5,MF,髙橋　大悟,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
6,MF,永野　雄大,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
7,MF,新垣　貴之,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
8,MF,針谷　岳晃,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
9,FW,佐藤　亮,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
10,FW,富山　貴光,小林　伸二,2021/03/06,12.9,46%,吉田　哲朗,"２０２１明治安田生命Ｊ２リーグ
								 第２節第１日",ギラヴァンツ北九州
