,第n回,種別,No,開催日,ホーム,アウェイ,試合結果,くじ結果,rGBM_pred_得失点
0,0,toto,1,20180901,北海道コンサドーレ札幌,ヴィッセル神戸,3-1,1,-2.0539036903804764
1,1213,toto,1,20201219,ＦＣ東京,ヴィッセル神戸,1-0,1,-2.0739662256750364
2,1213,toto,2,20201219,横浜ＦＣ,横浜Ｆ・マリノス,3-1,1,-2.337804654504988
3,1213,toto,3,20201219,サガン鳥栖,大分トリニータ,2-2,0,-2.5595962696953167
4,1213,toto,4,20201219,名古屋グランパス,サンフレッチェ広島,1-0,1,-2.242267627149127
5,1213,toto,5,20201219,ガンバ大阪,清水エスパルス,0-2,2,-2.2848614956407074
6,1213,toto,6,20201219,浦和レッズ,北海道コンサドーレ札幌,0-2,2,-2.770284029039632
7,1213,toto,7,20201219,ベガルタ仙台,湘南ベルマーレ,0-0,0,-2.558920266621928
8,1213,toto,8,20201219,鹿島アントラーズ,セレッソ大阪,1-1,0,-2.5851921590785376
9,1213,toto,9,20201219,柏レイソル,川崎フロンターレ,2-3,2,-2.5896479052959465
10,1213,toto,10,20201220,京都サンガF.C.,ザスパクサツ群馬,0-1,2,-2.259535986315986
11,1213,toto,11,20201220,アビスパ福岡,徳島ヴォルティス,1-0,1,-2.5455540809708834
12,1213,toto,12,20201220,東京ヴェルディ,水戸ホーリーホック,0-1,2,-2.777161609917853
13,1213,toto,13,20201220,ＦＣ琉球,ＦＣ町田ゼルビア,0-1,2,-2.469833766501353
14,1176,toto,1,20200801,ベガルタ仙台,横浜Ｆ・マリノス,0-1,2,-2.682437360888565
15,1176,toto,2,20200801,名古屋グランパス,柏レイソル,0-1,2,-2.2961014214645004
16,1176,toto,3,20200801,湘南ベルマーレ,セレッソ大阪,0-1,2,-2.575450768192536
17,1176,toto,4,20200801,ガンバ大阪,川崎フロンターレ,0-1,2,-1.8441096824897567
18,1176,toto,5,20200801,浦和レッズ,清水エスパルス,1-1,0,-2.044418852099488
19,1176,toto,6,20200801,ＦＣ東京,サガン鳥栖,2-3,2,-2.5322315670770323
20,1176,toto,7,20200802,北海道コンサドーレ札幌,ヴィッセル神戸,2-3,2,-2.001072209354781
21,1176,toto,8,20200801,横浜ＦＣ,サンフレッチェ広島,0-2,2,-2.1119838049278106
22,1176,toto,9,20200801,大分トリニータ,鹿島アントラーズ,1-4,2,-2.135851865712127
23,1176,toto,10,20200802,栃木ＳＣ,アルビレックス新潟,0-0,0,-2.7013785486700947
24,1176,toto,11,20200802,ヴァンフォーレ甲府,レノファ山口ＦＣ,1-1,0,-2.691865782701308
25,1176,toto,12,20200801,ファジアーノ岡山,ＦＣ琉球,1-2,2,-2.218756304804656
26,1176,toto,13,20200802,Ｖ・ファーレン長崎,東京ヴェルディ,0-0,0,-2.214175691687615
27,1178,toto,1,20200808,清水エスパルス,北海道コンサドーレ札幌,3-1,1,-2.914291402929078
28,1178,toto,2,20200808,名古屋グランパス,浦和レッズ,6-2,1,-2.6582789537256355
29,1178,toto,3,20200808,鹿島アントラーズ,サガン鳥栖,2-0,1,-2.538233077331107
30,1178,toto,4,20200808,川崎フロンターレ,大分トリニータ,2-0,1,-1.716622094525338
31,1178,toto,5,20200808,ガンバ大阪,横浜ＦＣ,2-1,1,-2.0656373971413937
32,1178,toto,6,20200808,横浜Ｆ・マリノス,柏レイソル,1-1,0,-2.010133249739264
33,1178,toto,7,20200808,ヴィッセル神戸,ベガルタ仙台,1-2,2,-2.0310308155408805
34,1178,toto,8,20200809,サンフレッチェ広島,湘南ベルマーレ,1-0,1,-1.834105135947295
35,1178,toto,9,20200809,セレッソ大阪,ＦＣ東京,0-0,0,-2.917613961605732
36,1178,toto,10,20200808,東京ヴェルディ,ＦＣ琉球,0-1,2,-1.7762261417952565
37,1178,toto,11,20200808,アビスパ福岡,ヴァンフォーレ甲府,2-2,0,-2.7034747883925783
38,1178,toto,12,20200808,モンテディオ山形,京都サンガF.C.,3-4,2,-2.163172266488273
39,1178,toto,13,20200808,ツエーゲン金沢,愛媛ＦＣ,4-3,1,-2.053142300330846
40,1204,toto,1,20201114,サンフレッチェ広島,横浜ＦＣ,1-1,0,-2.896517172211215
41,1204,toto,2,20201114,清水エスパルス,セレッソ大阪,3-1,1,-2.9147362346222097
42,1204,toto,3,20201114,ガンバ大阪,ベガルタ仙台,0-4,2,-2.696671016718569
43,1204,toto,4,20201114,横浜Ｆ・マリノス,浦和レッズ,6-2,1,-2.7908359178084154
44,1204,toto,5,20201114,鹿島アントラーズ,川崎フロンターレ,1-1,0,-2.947142537782672
45,1204,toto,6,20201114,北海道コンサドーレ札幌,サガン鳥栖,1-1,0,-2.784256180930859
46,1204,toto,7,20201115,ヴィッセル神戸,湘南ベルマーレ,0-2,2,-2.836018419088605
47,1204,toto,8,20201115,名古屋グランパス,ＦＣ東京,1-0,1,-2.5306194762519456
48,1204,toto,9,20201115,ザスパクサツ群馬,東京ヴェルディ,0-3,2,-2.876774759195822
49,1204,toto,10,20201115,ギラヴァンツ北九州,栃木ＳＣ,1-0,1,-2.8545923871354977
50,1204,toto,11,20201115,モンテディオ山形,徳島ヴォルティス,0-1,2,-2.451270449218775
51,1204,toto,12,20201115,ＦＣ町田ゼルビア,松本山雅ＦＣ,1-2,2,-2.790802681138571
52,1204,toto,13,20201115,ファジアーノ岡山,ジュビロ磐田,1-1,0,-2.1870210389821474
53,1179,toto,1,20200812,ベガルタ仙台,セレッソ大阪,0-3,2,-2.781791565376842
54,1179,toto,2,20200812,北海道コンサドーレ札幌,横浜ＦＣ,1-1,0,-2.367411328940243
55,1179,toto,3,20200812,サンフレッチェ広島,サガン鳥栖,中止,102,-2.2019163335343968
56,1179,toto,4,20200812,清水エスパルス,鹿島アントラーズ,2-3,2,-2.6556257240555103
57,1179,toto,5,20200812,湘南ベルマーレ,ガンバ大阪,1-2,2,-2.6047040995602297
58,1179,toto,6,20200812,名古屋グランパス,川崎フロンターレ,2-2,0,-2.159565662217973
59,1179,toto,7,20200812,柏レイソル,大分トリニータ,3-1,1,-2.1038613438940965
60,1179,toto,8,20200812,ＦＣ町田ゼルビア,徳島ヴォルティス,0-1,2,-2.6770510095122795
61,1179,toto,9,20200812,アルビレックス新潟,レノファ山口ＦＣ,2-1,1,-2.6434454067558715
62,1179,toto,10,20200812,愛媛ＦＣ,モンテディオ山形,0-1,2,-2.7992595128590523
63,1179,toto,11,20200812,大宮アルディージャ,ジュビロ磐田,2-2,0,-2.813725000881205
64,1179,toto,12,20200812,アビスパ福岡,東京ヴェルディ,1-3,2,-2.77155152964271
65,1179,toto,13,20200812,Ｖ・ファーレン長崎,ザスパクサツ群馬,3-1,1,-2.2456222129916137
66,1203,toto,1,20201111,サンフレッチェ広島,名古屋グランパス,2-0,1,-2.589705492616475
67,1203,toto,2,20201111,ガンバ大阪,ヴィッセル神戸,1-0,1,-1.9796926549410627
68,1203,toto,3,20201111,ＦＣ東京,北海道コンサドーレ札幌,1-0,1,-2.3962828820944893
69,1203,toto,4,20201111,湘南ベルマーレ,横浜Ｆ・マリノス,1-0,1,-2.078537135216389
70,1203,toto,5,20201111,アビスパ福岡,ＦＣ琉球,3-1,1,-1.6077542096093804
71,1203,toto,6,20201111,モンテディオ山形,大宮アルディージャ,2-1,1,-1.80377957615976
72,1203,toto,7,20201111,ツエーゲン金沢,ザスパクサツ群馬,1-0,1,-1.738389034900541
73,1203,toto,8,20201111,京都サンガF.C.,東京ヴェルディ,1-2,2,-2.213323062276983
74,1203,toto,9,20201111,徳島ヴォルティス,栃木ＳＣ,2-0,1,-1.268428338423428
75,1203,toto,10,20201111,ヴァンフォーレ甲府,水戸ホーリーホック,2-0,1,-2.211261575336576
76,1203,toto,11,20201111,Ｖ・ファーレン長崎,ファジアーノ岡山,5-0,1,-2.1251942358934754
77,1203,toto,12,20201111,松本山雅ＦＣ,ジェフユナイテッド千葉,2-3,2,-1.7764424961827907
78,1203,toto,13,20201111,ＦＣ町田ゼルビア,レノファ山口ＦＣ,1-0,1,-2.094746305602024
0,1181,toto,1,20200819,横浜ＦＣ,鹿島アントラーズ,1-0,1,-2.5333942860944103
1,1181,toto,2,20200819,ヴィッセル神戸,柏レイソル,2-3,2,-2.858272164604776
2,1181,toto,3,20200819,湘南ベルマーレ,名古屋グランパス,0-1,2,-2.8842062656925287
3,1181,toto,4,20200819,清水エスパルス,横浜Ｆ・マリノス,3-4,2,-3.41998942547151
4,1181,toto,5,20200819,北海道コンサドーレ札幌,大分トリニータ,1-1,0,-2.972281885422552
5,1181,toto,6,20200819,川崎フロンターレ,セレッソ大阪,5-2,1,-2.744975030532341
6,1181,toto,7,20200819,ガンバ大阪,浦和レッズ,1-3,2,-2.5907743475818883
7,1181,toto,8,20200819,サンフレッチェ広島,ＦＣ東京,3-3,0,-2.525051915435406
8,1181,toto,9,20200819,徳島ヴォルティス,ファジアーノ岡山,0-0,0,-2.9065687796412503
9,1181,toto,10,20200819,ＦＣ町田ゼルビア,ジュビロ磐田,0-0,0,-2.5493976535600953
10,1181,toto,11,20200819,ツエーゲン金沢,モンテディオ山形,1-1,0,-2.3517356075377043
11,1181,toto,12,20200819,アビスパ福岡,水戸ホーリーホック,0-1,2,-2.7833773804428636
12,1181,toto,13,20200819,ザスパクサツ群馬,レノファ山口ＦＣ,2-1,1,-2.796089053831083
